labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval
1,2,0.4,265.00000053,48.166666763,2
2,4,0.4,145.500000291,17.666666702,2
3,6,0.4,133.166666933,16.166666699,2
4,10,0.4,121.500000243,16.333333365999998,2
5,14,0.4,128.166666923,17.000000034,2
6,18,0.26,93.166666853,12.833333359,2
7,24,0.34,155.666666978,20.833333375,2
8,30,0.34375,153.000000306,20.833333375,2
9,40,0.35,58.833333450999994,12.166666691,2
10,50,0.32999999999999996,149.50000029900002,18.666666704,2
11,62,0.306,90.00000018,14.166666694999998,2
12,68,0.29400000000000004,95.833333525,15.00000003,2
13,74,0.28200000000000003,73.666666814,12.833333359,2
14,80,0.27,30.833333395,11.833333357,2
15,100,0.26,62.500000125,11.66666669,2
