labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),interval,226Ra(Bq/kg),sd(226Ra)
1,2,0.27406451099215,252.3026151,8.219687628,2,28.03587268,6.569074771
2,6,0.590562611604099,166.9844377,7.984228576,2,44.67744044,5.686219692
3,10,0.782007298065059,124.0612855,7.079584226,2,33.18160678,6.425085663
4,14,0.629672160780922,87.09655223,6.782108575,2,49.41604186,6.249110352
5,18,0.773994580962645,55.73949799,5.984661889,2,37.51411613,5.466881245
6,22,0.999282778990341,43.85645514,6.83477223,2,41.34122729,6.034558231
7,26,1.18400680406572,20.97294261,6.663278642,2,40.43402719,4.80568356
8,30,1.1956666715262,45.71167343,6.58558007,2,41.84630692,7.705713805
9,34,1.31747386598008,44.2356609,5.2041954,2,35.18594066,4.589470521
10,38,1.5069370061635,56.03963295,5.97321669,2,33.71815212,4.506112495
11,42,1.63123088153391,53.4124086,5.41707998,2,45.24356164,4.241583904
12,46,1.72571393640534,58.80445002,5.7396608670000004,2,41.03390966,6.233997814
13,50,1.77321937078635,63.84510059,6.503745391,2,43.45131162,4.775729745
