depth	min	max	median	mean
0	-60	-60	-60	-60
1	-58	-58	-58	-58
2	-57	-56	-56	-56
3	-55	-54	-54	-54
4	-53	-51	-52	-52
5	-51	-49	-50	-50
6	-48	-46	-47	-47
7	-45	-43	-44	-44
8	-43	-40	-42	-42
9	-41	-38	-39	-39
10	-39	-35	-37	-37
11	-37	-32	-34	-34
12	-35	-30	-33	-33
13	-33	-28	-31	-31
14	-31	-26	-28	-28
15	-29	-23	-26	-26
16	-27	-20	-24	-24
17	-25	-18	-21	-21
18	-22	-14	-18	-18
19	-19	-10	-14	-14
20	-14	-4	-9	-9
21	-11	1	-4	-4
22	-6	8	1	1
23	-2	14	6	6
24	1	20	11	11
25	6	28	17	17
26	10	38	24	24
27	15	49	32	32
28	18	60	38	38
29	23	73	46	46
30	27	89	54	55
