depth	min	max	median	mean
0	-60	-60	-60	-60
1	-59	-52	-57	-56
2	-58	-45	-53	-53
3	-56	-38	-49	-49
4	-54	-31	-46	-45
5	-52	-24	-42	-41
6	-50	-17	-38	-37
7	-47	-10	-33	-32
8	-45	-2	-29	-28
9	-42	4	-24	-23
10	-40	12	-20	-18
11	-37	19	-15	-13
12	-34	26	-11	-9
13	-31	32	-6	-4
14	-28	40	-1	1
15	-26	47	4	6
16	-23	54	9	10
17	-20	60	13	15
18	-18	68	18	20
19	-15	73	23	25
20	-12	80	28	30
21	-10	87	33	35
22	-8	94	38	40
23	-5	100	43	44
24	-3	107	48	49
25	0	114	53	54
26	2	121	58	59
27	4	128	62	64
28	6	136	67	69
