depth	min	max	median	mean
0	-67	-67	-67	-67
1	-65	-64	-65	-65
2	-62	-61	-62	-62
3	-59	-57	-58	-58
4	-56	-53	-54	-54
5	-52	-48	-50	-50
6	-49	-43	-46	-46
7	-45	-39	-42	-42
8	-41	-34	-38	-38
9	-36	-27	-33	-32
10	-30	-19	-25	-25
11	-22	-9	-17	-16
12	-17	-2	-11	-11
13	-14	2	-8	-8
14	-11	7	-4	-4
15	-8	13	0	0
16	-5	18	4	4
17	-3	22	7	8
18	-1	27	10	11
19	1	31	13	14
20	3	35	16	17
21	6	40	19	20
22	7	44	22	23
23	9	47	25	26
24	11	51	28	29
25	13	55	31	32
26	15	59	34	35
27	18	63	37	38
28	21	67	41	42
29	24	72	45	46
30	27	76	49	50
31	30	81	53	54
32	34	85	57	58
33	37	90	61	62
34	41	95	65	66
35	44	99	69	70
36	48	103	74	74
37	51	108	78	79
38	55	112	82	83
39	59	117	87	87
40	62	121	91	91
41	66	126	95	95
42	70	130	99	99
43	73	134	103	104
44	77	139	108	108
45	81	143	112	112
46	85	148	116	116
47	89	152	120	120
48	93	156	125	125
49	96	160	129	129
50	100	165	133	133
51	105	169	137	137
52	108	173	142	141
53	112	177	146	146
54	117	181	150	150
55	121	185	154	154
56	125	189	159	158
57	129	193	163	162
58	133	197	167	167
59	138	201	171	171
60	142	205	176	175
61	146	209	180	179
62	150	213	184	184
63	155	217	188	188
64	159	221	193	192
65	163	226	197	196
66	167	229	201	200
67	171	233	206	205
68	175	237	210	209
69	179	240	214	213
70	183	244	219	217
71	187	248	223	221
72	192	251	227	226
73	196	255	231	230
74	200	258	236	234
75	204	262	240	238
76	208	265	244	242
77	212	268	249	246
78	217	271	253	251
79	220	274	257	255
80	225	277	262	259
81	229	280	266	263
